// output of ./demo/comb/composition-nz-left-smooth-demo.cc:
// Description:
//% Left-smooth compositions in lexicographic order.
//% Cf. OEIS sequence A005169.

arg 1: 9 == n  [Left-smooth compositions of n]  default=9
arg 2: 0 == aa  [If aa!=0, render as compositions (1) or fountains of coins (2)]  default=0
   1:  [ 9]    [ 1 1 1 1 1 1 1 1 1 ]
   2:  [ 8]    [ 1 1 1 1 1 1 1 2 ]
   3:  [ 8]    [ 1 1 1 1 1 1 2 1 ]
   4:  [ 8]    [ 1 1 1 1 1 2 1 1 ]
   5:  [ 7]    [ 1 1 1 1 1 2 2 ]
   6:  [ 8]    [ 1 1 1 1 2 1 1 1 ]
   7:  [ 7]    [ 1 1 1 1 2 1 2 ]
   8:  [ 7]    [ 1 1 1 1 2 2 1 ]
   9:  [ 6]    [ 1 1 1 1 2 3 ]
  10:  [ 8]    [ 1 1 1 2 1 1 1 1 ]
  11:  [ 7]    [ 1 1 1 2 1 1 2 ]
  12:  [ 7]    [ 1 1 1 2 1 2 1 ]
  13:  [ 7]    [ 1 1 1 2 2 1 1 ]
  14:  [ 6]    [ 1 1 1 2 2 2 ]
  15:  [ 6]    [ 1 1 1 2 3 1 ]
  16:  [ 8]    [ 1 1 2 1 1 1 1 1 ]
  17:  [ 7]    [ 1 1 2 1 1 1 2 ]
  18:  [ 7]    [ 1 1 2 1 1 2 1 ]
  19:  [ 7]    [ 1 1 2 1 2 1 1 ]
  20:  [ 6]    [ 1 1 2 1 2 2 ]
  21:  [ 7]    [ 1 1 2 2 1 1 1 ]
  22:  [ 6]    [ 1 1 2 2 1 2 ]
  23:  [ 6]    [ 1 1 2 2 2 1 ]
  24:  [ 5]    [ 1 1 2 2 3 ]
  25:  [ 6]    [ 1 1 2 3 1 1 ]
  26:  [ 5]    [ 1 1 2 3 2 ]
  27:  [ 8]    [ 1 2 1 1 1 1 1 1 ]
  28:  [ 7]    [ 1 2 1 1 1 1 2 ]
  29:  [ 7]    [ 1 2 1 1 1 2 1 ]
  30:  [ 7]    [ 1 2 1 1 2 1 1 ]
  31:  [ 6]    [ 1 2 1 1 2 2 ]
  32:  [ 7]    [ 1 2 1 2 1 1 1 ]
  33:  [ 6]    [ 1 2 1 2 1 2 ]
  34:  [ 6]    [ 1 2 1 2 2 1 ]
  35:  [ 5]    [ 1 2 1 2 3 ]
  36:  [ 7]    [ 1 2 2 1 1 1 1 ]
  37:  [ 6]    [ 1 2 2 1 1 2 ]
  38:  [ 6]    [ 1 2 2 1 2 1 ]
  39:  [ 6]    [ 1 2 2 2 1 1 ]
  40:  [ 5]    [ 1 2 2 2 2 ]
  41:  [ 5]    [ 1 2 2 3 1 ]
  42:  [ 6]    [ 1 2 3 1 1 1 ]
  43:  [ 5]    [ 1 2 3 1 2 ]
  44:  [ 5]    [ 1 2 3 2 1 ]
  45:  [ 4]    [ 1 2 3 3 ]
 ct=45
