// output of ./demo/comb/composition-nz-smooth-demo.cc:
// Description:
//% Left-smooth compositions in lexicographic order.
//% Same as "1-dimensional sand piles",
//% cf. OEIS sequence A186085.

arg 1: 11 == n  [Smooth compositions of n]  default=11
arg 2: 0 == aa  [Whether to render as ASCII art]  default=0
   1:  [11]    [ 1 1 1 1 1 1 1 1 1 1 1 ]
   2:  [10]    [ 1 1 1 1 1 1 1 1 2 1 ]
   3:  [10]    [ 1 1 1 1 1 1 1 2 1 1 ]
   4:  [10]    [ 1 1 1 1 1 1 2 1 1 1 ]
   5:  [ 9]    [ 1 1 1 1 1 1 2 2 1 ]
   6:  [10]    [ 1 1 1 1 1 2 1 1 1 1 ]
   7:  [ 9]    [ 1 1 1 1 1 2 1 2 1 ]
   8:  [ 9]    [ 1 1 1 1 1 2 2 1 1 ]
   9:  [10]    [ 1 1 1 1 2 1 1 1 1 1 ]
  10:  [ 9]    [ 1 1 1 1 2 1 1 2 1 ]
  11:  [ 9]    [ 1 1 1 1 2 1 2 1 1 ]
  12:  [ 9]    [ 1 1 1 1 2 2 1 1 1 ]
  13:  [ 8]    [ 1 1 1 1 2 2 2 1 ]
  14:  [10]    [ 1 1 1 2 1 1 1 1 1 1 ]
  15:  [ 9]    [ 1 1 1 2 1 1 1 2 1 ]
  16:  [ 9]    [ 1 1 1 2 1 1 2 1 1 ]
  17:  [ 9]    [ 1 1 1 2 1 2 1 1 1 ]
  18:  [ 8]    [ 1 1 1 2 1 2 2 1 ]
  19:  [ 9]    [ 1 1 1 2 2 1 1 1 1 ]
  20:  [ 8]    [ 1 1 1 2 2 1 2 1 ]
  21:  [ 8]    [ 1 1 1 2 2 2 1 1 ]
  22:  [ 7]    [ 1 1 1 2 3 2 1 ]
  23:  [10]    [ 1 1 2 1 1 1 1 1 1 1 ]
  24:  [ 9]    [ 1 1 2 1 1 1 1 2 1 ]
  25:  [ 9]    [ 1 1 2 1 1 1 2 1 1 ]
  26:  [ 9]    [ 1 1 2 1 1 2 1 1 1 ]
  27:  [ 8]    [ 1 1 2 1 1 2 2 1 ]
  28:  [ 9]    [ 1 1 2 1 2 1 1 1 1 ]
  29:  [ 8]    [ 1 1 2 1 2 1 2 1 ]
  30:  [ 8]    [ 1 1 2 1 2 2 1 1 ]
  31:  [ 9]    [ 1 1 2 2 1 1 1 1 1 ]
  32:  [ 8]    [ 1 1 2 2 1 1 2 1 ]
  33:  [ 8]    [ 1 1 2 2 1 2 1 1 ]
  34:  [ 8]    [ 1 1 2 2 2 1 1 1 ]
  35:  [ 7]    [ 1 1 2 2 2 2 1 ]
  36:  [ 7]    [ 1 1 2 3 2 1 1 ]
  37:  [10]    [ 1 2 1 1 1 1 1 1 1 1 ]
  38:  [ 9]    [ 1 2 1 1 1 1 1 2 1 ]
  39:  [ 9]    [ 1 2 1 1 1 1 2 1 1 ]
  40:  [ 9]    [ 1 2 1 1 1 2 1 1 1 ]
  41:  [ 8]    [ 1 2 1 1 1 2 2 1 ]
  42:  [ 9]    [ 1 2 1 1 2 1 1 1 1 ]
  43:  [ 8]    [ 1 2 1 1 2 1 2 1 ]
  44:  [ 8]    [ 1 2 1 1 2 2 1 1 ]
  45:  [ 9]    [ 1 2 1 2 1 1 1 1 1 ]
  46:  [ 8]    [ 1 2 1 2 1 1 2 1 ]
  47:  [ 8]    [ 1 2 1 2 1 2 1 1 ]
  48:  [ 8]    [ 1 2 1 2 2 1 1 1 ]
  49:  [ 7]    [ 1 2 1 2 2 2 1 ]
  50:  [ 9]    [ 1 2 2 1 1 1 1 1 1 ]
  51:  [ 8]    [ 1 2 2 1 1 1 2 1 ]
  52:  [ 8]    [ 1 2 2 1 1 2 1 1 ]
  53:  [ 8]    [ 1 2 2 1 2 1 1 1 ]
  54:  [ 7]    [ 1 2 2 1 2 2 1 ]
  55:  [ 8]    [ 1 2 2 2 1 1 1 1 ]
  56:  [ 7]    [ 1 2 2 2 1 2 1 ]
  57:  [ 7]    [ 1 2 2 2 2 1 1 ]
  58:  [ 6]    [ 1 2 2 3 2 1 ]
  59:  [ 7]    [ 1 2 3 2 1 1 1 ]
  60:  [ 6]    [ 1 2 3 2 2 1 ]
 ct=60
