// output of ./demo/comb/mixedradix-colex-demo.cc:
// Description:
//% Mixed radix counting, most significant digit changes most often.

arg 1: 3 == n  [Number of digits]  default=3
arg 2: 4 == rr  [Base (radix) of digits (0==>falling factorial, 1==>rising factorial)]  default=4
args 3,4,... : [Optionally supply radix for all digits (rr ignored)]
Nines: [ 3 3 3 ]
    0:      [ . . . ]
    1:      [ . . 1 ]
    2:      [ . . 2 ]
    3:      [ . . 3 ]
    4:      [ . 1 . ]
    5:      [ . 1 1 ]
    6:      [ . 1 2 ]
    7:      [ . 1 3 ]
    8:      [ . 2 . ]
    9:      [ . 2 1 ]
   10:      [ . 2 2 ]
   11:      [ . 2 3 ]
   12:      [ . 3 . ]
   13:      [ . 3 1 ]
   14:      [ . 3 2 ]
   15:      [ . 3 3 ]
   16:      [ 1 . . ]
   17:      [ 1 . 1 ]
   18:      [ 1 . 2 ]
   19:      [ 1 . 3 ]
   20:      [ 1 1 . ]
   21:      [ 1 1 1 ]
   22:      [ 1 1 2 ]
   23:      [ 1 1 3 ]
   24:      [ 1 2 . ]
   25:      [ 1 2 1 ]
   26:      [ 1 2 2 ]
   27:      [ 1 2 3 ]
   28:      [ 1 3 . ]
   29:      [ 1 3 1 ]
   30:      [ 1 3 2 ]
   31:      [ 1 3 3 ]
   32:      [ 2 . . ]
   33:      [ 2 . 1 ]
   34:      [ 2 . 2 ]
   35:      [ 2 . 3 ]
   36:      [ 2 1 . ]
   37:      [ 2 1 1 ]
   38:      [ 2 1 2 ]
   39:      [ 2 1 3 ]
   40:      [ 2 2 . ]
   41:      [ 2 2 1 ]
   42:      [ 2 2 2 ]
   43:      [ 2 2 3 ]
   44:      [ 2 3 . ]
   45:      [ 2 3 1 ]
   46:      [ 2 3 2 ]
   47:      [ 2 3 3 ]
   48:      [ 3 . . ]
   49:      [ 3 . 1 ]
   50:      [ 3 . 2 ]
   51:      [ 3 . 3 ]
   52:      [ 3 1 . ]
   53:      [ 3 1 1 ]
   54:      [ 3 1 2 ]
   55:      [ 3 1 3 ]
   56:      [ 3 2 . ]
   57:      [ 3 2 1 ]
   58:      [ 3 2 2 ]
   59:      [ 3 2 3 ]
   60:      [ 3 3 . ]
   61:      [ 3 3 1 ]
   62:      [ 3 3 2 ]
   63:      [ 3 3 3 ]
 ct=64
