// output of ./demo/comb/partition-asc-subset-lex-demo.cc:
// Description:
//% Partitions of n into positive parts, subset-lex order.
//% Loopless algorithm.

arg 1: 10 == n  [partitions of n]  default=10
arg 2: 0 == aa  [Whether to render as ASCII art]  default=0
   0:  [ 8]  [ 1 1 1 1 1 1 2 2 ]
   1:  [ 7]  [ 1 1 1 1 1 2 3 ]
   2:  [ 6]  [ 1 1 1 1 2 4 ]
   3:  [ 7]  [ 1 1 1 1 2 2 2 ]
   4:  [ 6]  [ 1 1 1 1 3 3 ]
   5:  [ 5]  [ 1 1 1 2 5 ]
   6:  [ 6]  [ 1 1 1 2 2 3 ]
   7:  [ 5]  [ 1 1 1 3 4 ]
   8:  [ 4]  [ 1 1 2 6 ]
   9:  [ 5]  [ 1 1 2 2 4 ]
  10:  [ 6]  [ 1 1 2 2 2 2 ]
  11:  [ 5]  [ 1 1 2 3 3 ]
  12:  [ 4]  [ 1 1 3 5 ]
  13:  [ 4]  [ 1 1 4 4 ]
  14:  [ 3]  [ 1 2 7 ]
  15:  [ 4]  [ 1 2 2 5 ]
  16:  [ 5]  [ 1 2 2 2 3 ]
  17:  [ 4]  [ 1 2 3 4 ]
  18:  [ 3]  [ 1 3 6 ]
  19:  [ 4]  [ 1 3 3 3 ]
  20:  [ 3]  [ 1 4 5 ]
  21:  [ 2]  [ 2 8 ]
  22:  [ 3]  [ 2 2 6 ]
  23:  [ 4]  [ 2 2 2 4 ]
  24:  [ 5]  [ 2 2 2 2 2 ]
  25:  [ 4]  [ 2 2 3 3 ]
  26:  [ 3]  [ 2 3 5 ]
  27:  [ 3]  [ 2 4 4 ]
  28:  [ 2]  [ 3 7 ]
  29:  [ 3]  [ 3 3 4 ]
  30:  [ 2]  [ 4 6 ]
  31:  [ 2]  [ 5 5 ]
  32:  [ 1]  [ 10 ]
  33:  [ 2]  [ 1 9 ]
  34:  [ 3]  [ 1 1 8 ]
  35:  [ 4]  [ 1 1 1 7 ]
  36:  [ 5]  [ 1 1 1 1 6 ]
  37:  [ 6]  [ 1 1 1 1 1 5 ]
  38:  [ 7]  [ 1 1 1 1 1 1 4 ]
  39:  [ 8]  [ 1 1 1 1 1 1 1 3 ]
  40:  [ 9]  [ 1 1 1 1 1 1 1 1 2 ]
  41:  [10]  [ 1 1 1 1 1 1 1 1 1 1 ]
 ct=42
