// output of ./demo/comb/partition-desc-demo.cc:
// Description:
//% Integer partitions as non-increasing list of parts.
//% Same as: compositions into non-increasing parts.
//% Cf. OEIS sequence A000041.

arg 1: 10 == n  [integer partitions of n]  default=10
arg 2: 0 == aa  [Whether to render as ASCII art]  default=0
   1:  [10]   [ 1 1 1 1 1 1 1 1 1 1 ]
   2:  [ 9]   [ 2 1 1 1 1 1 1 1 1 ]
   3:  [ 8]   [ 2 2 1 1 1 1 1 1 ]
   4:  [ 7]   [ 2 2 2 1 1 1 1 ]
   5:  [ 6]   [ 2 2 2 2 1 1 ]
   6:  [ 5]   [ 2 2 2 2 2 ]
   7:  [ 8]   [ 3 1 1 1 1 1 1 1 ]
   8:  [ 7]   [ 3 2 1 1 1 1 1 ]
   9:  [ 6]   [ 3 2 2 1 1 1 ]
  10:  [ 5]   [ 3 2 2 2 1 ]
  11:  [ 6]   [ 3 3 1 1 1 1 ]
  12:  [ 5]   [ 3 3 2 1 1 ]
  13:  [ 4]   [ 3 3 2 2 ]
  14:  [ 4]   [ 3 3 3 1 ]
  15:  [ 7]   [ 4 1 1 1 1 1 1 ]
  16:  [ 6]   [ 4 2 1 1 1 1 ]
  17:  [ 5]   [ 4 2 2 1 1 ]
  18:  [ 4]   [ 4 2 2 2 ]
  19:  [ 5]   [ 4 3 1 1 1 ]
  20:  [ 4]   [ 4 3 2 1 ]
  21:  [ 3]   [ 4 3 3 ]
  22:  [ 4]   [ 4 4 1 1 ]
  23:  [ 3]   [ 4 4 2 ]
  24:  [ 6]   [ 5 1 1 1 1 1 ]
  25:  [ 5]   [ 5 2 1 1 1 ]
  26:  [ 4]   [ 5 2 2 1 ]
  27:  [ 4]   [ 5 3 1 1 ]
  28:  [ 3]   [ 5 3 2 ]
  29:  [ 3]   [ 5 4 1 ]
  30:  [ 2]   [ 5 5 ]
  31:  [ 5]   [ 6 1 1 1 1 ]
  32:  [ 4]   [ 6 2 1 1 ]
  33:  [ 3]   [ 6 2 2 ]
  34:  [ 3]   [ 6 3 1 ]
  35:  [ 2]   [ 6 4 ]
  36:  [ 4]   [ 7 1 1 1 ]
  37:  [ 3]   [ 7 2 1 ]
  38:  [ 2]   [ 7 3 ]
  39:  [ 3]   [ 8 1 1 ]
  40:  [ 2]   [ 8 2 ]
  41:  [ 2]   [ 9 1 ]
  42:  [ 1]   [ 10 ]
 ct=42
