// output of ./demo/comb/partition-s-desc-demo.cc:
// Description:
//% S-partitions: integer partitions into parts 2^n-1.
//% Representation as non-increasing list of parts.
//% Cf. OEIS sequence A000929.

arg 1: 32 == n  [integer partitions of n into parts 2^k-1]  default=32
   1:  [32]   [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
   2:  [30]   [ 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
   3:  [28]   [ 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
   4:  [26]   [ 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
   5:  [24]   [ 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
   6:  [22]   [ 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
   7:  [20]   [ 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
   8:  [18]   [ 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 ]
   9:  [16]   [ 3 3 3 3 3 3 3 3 1 1 1 1 1 1 1 1 ]
  10:  [14]   [ 3 3 3 3 3 3 3 3 3 1 1 1 1 1 ]
  11:  [12]   [ 3 3 3 3 3 3 3 3 3 3 1 1 ]
  12:  [26]   [ 7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  13:  [24]   [ 7 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  14:  [22]   [ 7 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  15:  [20]   [ 7 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  16:  [18]   [ 7 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  17:  [16]   [ 7 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 ]
  18:  [14]   [ 7 3 3 3 3 3 3 1 1 1 1 1 1 1 ]
  19:  [12]   [ 7 3 3 3 3 3 3 3 1 1 1 1 ]
  20:  [10]   [ 7 3 3 3 3 3 3 3 3 1 ]
  21:  [20]   [ 7 7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  22:  [18]   [ 7 7 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  23:  [16]   [ 7 7 3 3 1 1 1 1 1 1 1 1 1 1 1 1 ]
  24:  [14]   [ 7 7 3 3 3 1 1 1 1 1 1 1 1 1 ]
  25:  [12]   [ 7 7 3 3 3 3 1 1 1 1 1 1 ]
  26:  [10]   [ 7 7 3 3 3 3 3 1 1 1 ]
  27:  [ 8]   [ 7 7 3 3 3 3 3 3 ]
  28:  [14]   [ 7 7 7 1 1 1 1 1 1 1 1 1 1 1 ]
  29:  [12]   [ 7 7 7 3 1 1 1 1 1 1 1 1 ]
  30:  [10]   [ 7 7 7 3 3 1 1 1 1 1 ]
  31:  [ 8]   [ 7 7 7 3 3 3 1 1 ]
  32:  [ 8]   [ 7 7 7 7 1 1 1 1 ]
  33:  [ 6]   [ 7 7 7 7 3 1 ]
  34:  [18]   [ 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  35:  [16]   [ 15 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
  36:  [14]   [ 15 3 3 1 1 1 1 1 1 1 1 1 1 1 ]
  37:  [12]   [ 15 3 3 3 1 1 1 1 1 1 1 1 ]
  38:  [10]   [ 15 3 3 3 3 1 1 1 1 1 ]
  39:  [ 8]   [ 15 3 3 3 3 3 1 1 ]
  40:  [12]   [ 15 7 1 1 1 1 1 1 1 1 1 1 ]
  41:  [10]   [ 15 7 3 1 1 1 1 1 1 1 ]
  42:  [ 8]   [ 15 7 3 3 1 1 1 1 ]
  43:  [ 6]   [ 15 7 3 3 3 1 ]
  44:  [ 6]   [ 15 7 7 1 1 1 ]
  45:  [ 4]   [ 15 7 7 3 ]
  46:  [ 4]   [ 15 15 1 1 ]
  47:  [ 2]   [ 31 1 ]
 ct=47
